DataNotaFiscal,Fabricante,Estado,ValorVenda,ValorCusto,TotalDesconto,CustoEntrega,CustoMaoDeObra,NomeCliente,Modelo,Cor,Ano
04/10/2012,Rolls Royce,São Paulo,95000,50000,500,750,750,Aldo Motors,Camargue,Vermelho,2012
01/01/2012,Aston Martin,São Paulo,120000,75000,0,1500,550,Honest John,DBS,Azul,2012
02/02/2012,Rolls Royce,São Paulo,88000,75000,750,1000,550,Bright Orange,Prata Ghost,Verde,2012
03/03/2012,Rolls Royce,São Paulo,89000,88000,0,1000,550,Honest John,Prata Ghost,Azul,2012
04/04/2012,Rolls Royce,São Paulo,92000,62000,0,1500,550,Wheels'R'Us,Camargue,Prata,2012
04/05/2012,Rolls Royce,São Paulo,102500,125000,0,1000,550,Cut'n'Shut,Camargue,Verde,2012
04/06/2012,Aston Martin,São Paulo,110000,56000,750,500,550,Bright Orange,DBS,Púrpura,2012
04/07/2012,Aston Martin,Minas Gerais,125000,23500,2500,1000,550,Les Arnaqueurs,DB7,Vermelho,2012
04/08/2012,Aston Martin,São Paulo,130000,15500,0,1000,750,Aldo Motors,DB9,Azul,2012
04/09/2012,Aston Martin,São Paulo,75000,75890,0,1000,750,Aldo Motors,DB9,Prata,2012
04/09/2012,Aston Martin,São Paulo,68500,99000,0,1000,750,Aldo Motors,DB4,Azul,2012
04/11/2012,Aston Martin,Minas Gerais,95000,125000,0,1500,750,Les Arnaqueurs,Vantage,Prata,2012
04/11/2012,Aston Martin,São Paulo,155000,125000,0,1500,750,Wheels'R'Us,Vanquish,Azul,2012
04/12/2012,Aston Martin,São Paulo,95000,155000,5000,1500,570,Bright Orange,Rapide,Preto,2012
04/12/2012,Aston Martin,São Paulo,178500,125000,0,1500,570,Cut'n'Shut,Zagato,Verde,2012
02/01/2013,Rolls Royce,Minas Gerais,130000,62000,0,1750,570,Les Arnaqueurs,Prata Ghost,Prata,2013
02/02/2013,Rolls Royce,São Paulo,178500,62000,0,1750,654,Wheels'R'Us,Wraith,Prata,2013
02/03/2013,Rolls Royce,São Paulo,110000,75890,0,990,987,Cut'n'Shut,Prata Ghost,Verde,2013
02/04/2013,Rolls Royce,São Paulo,130000,62000,0,500,654,Bright Orange,Camargue,Azul,2013
02/05/2013,Rolls Royce,São Paulo,178500,75890,950,1750,321,Honest John,Prata Shadow,Vermelho,2013
02/06/2013,Rolls Royce,São Paulo,110000,62000,0,1750,951,Aldo Motors,Prata Seraph,Vermelho,2013
02/07/2013,Rolls Royce,São Paulo,102500,62000,1750,500,987,Aldo Motors,Prata Ghost,Preto,2013
02/08/2013,Rolls Royce,São Paulo,130000,62000,0,1000,750,Honest John,Prata Shadow,Verde,2013
02/09/2013,Rolls Royce,São Paulo,178500,75890,0,450,654,Bright Orange,Camargue,Púrpura,2013
02/10/2013,Rolls Royce,São Paulo,178500,75890,0,1750,987,Wheels'R'Us,Prata Seraph,Vermelho,2013
02/11/2013,Rolls Royce,São Paulo,130000,75890,750,1750,321,Cut'n'Shut,Prata Ghost,Vermelho,2013
02/12/2013,Rolls Royce,São Paulo,178500,62000,0,1750,654,Wheels'R'Us,Phantom,Verde,2013
02/01/2013,Aston Martin,São Paulo,178500,75890,0,500,987,Wheels'R'Us,DB9,Púrpura,2013
02/02/2013,Aston Martin,São Paulo,110000,75890,0,500,963,Cut'n'Shut,DB4,Verde,2013
02/03/2013,Aston Martin,São Paulo,178500,75890,0,500,852,Cut'n'Shut,DB9,Preto,2013
02/04/2013,Aston Martin,São Paulo,110000,75890,0,0,147,Bright Orange,DB4,Azul,2013
02/05/2013,Aston Martin,São Paulo,102500,75890,"0,01",500,852,Bright Orange,DB4,Prata,2013
02/06/2013,Aston Martin,São Paulo,178500,62000,750,450,654,Honest John,Vanquish,Prata,2013
